Date,Percentage change
02/02/2011,-0.00272
03/02/2011,0.00236
04/02/2011,0.00288
07/02/2011,0.00624
08/02/2011,0.00419
09/02/2011,-0.00279
10/02/2011,0.00075
11/02/2011,0.00551
14/02/2011,0.00239
15/02/2011,-0.00323
16/02/2011,0.00626
17/02/2011,0.00307
18/02/2011,0.00193
22/02/2011,-0.02053
23/02/2011,-0.00612
24/02/2011,-0.00099
25/02/2011,0.01055
28/02/2011,0.00556
01/03/2011,-0.01574
02/03/2011,0.00161
03/03/2011,0.01722
04/03/2011,-0.00737
07/03/2011,-0.00834
08/03/2011,0.00892
09/03/2011,-0.00136
10/03/2011,-0.01888
11/03/2011,0.00708
14/03/2011,-0.00605
15/03/2011,-0.01120
16/03/2011,-0.01950
17/03/2011,0.01340
18/03/2011,0.00431
21/03/2011,0.01499
22/03/2011,-0.00355
23/03/2011,0.00292
24/03/2011,0.00934
25/03/2011,0.00316
28/03/2011,-0.00275
29/03/2011,0.00706
30/03/2011,0.00668
31/03/2011,-0.00183
01/04/2011,0.00497
04/04/2011,0.00035
05/04/2011,-0.00018
06/04/2011,0.00218
07/04/2011,-0.00152
08/04/2011,-0.00401
11/04/2011,-0.00279
12/04/2011,-0.00778
13/04/2011,0.00019
14/04/2011,0.00008
15/04/2011,0.00392
18/04/2011,-0.01102
19/04/2011,0.00574
20/04/2011,0.01351
21/04/2011,0.00528
25/04/2011,-0.00160
26/04/2011,0.00898
27/04/2011,0.00625
28/04/2011,0.00356
29/04/2011,0.00230
02/05/2011,-0.00175
03/05/2011,-0.00338
04/05/2011,-0.00685
05/05/2011,-0.00907
06/05/2011,0.00382
09/05/2011,0.00455
10/05/2011,0.00807
11/05/2011,-0.01111
12/05/2011,0.00489
13/05/2011,-0.00806
16/05/2011,-0.00621
17/05/2011,-0.00037
18/05/2011,0.00880
19/05/2011,0.00218
20/05/2011,-0.00769
23/05/2011,-0.01193
24/05/2011,-0.00082
25/05/2011,0.00319
26/05/2011,0.00395
27/05/2011,0.00408
31/05/2011,0.01059
01/06/2011,-0.02279
02/06/2011,-0.00122
03/06/2011,-0.00973
06/06/2011,-0.01076
07/06/2011,-0.00095
08/06/2011,-0.00419
09/06/2011,0.00738
10/06/2011,-0.01398
13/06/2011,0.00067
14/06/2011,0.01261
15/06/2011,-0.01743
16/06/2011,0.00175
17/06/2011,0.00305
20/06/2011,0.00540
21/06/2011,0.01342
22/06/2011,-0.00647
23/06/2011,-0.00283
24/06/2011,-0.01173
27/06/2011,0.00918
28/06/2011,0.01295
29/06/2011,0.00828
30/06/2011,0.01012
01/07/2011,0.01441
05/07/2011,-0.00134
06/07/2011,0.00101
07/07/2011,0.01045
08/07/2011,-0.00696
11/07/2011,-0.01809
12/07/2011,-0.00443
13/07/2011,0.00310
14/07/2011,-0.00672
15/07/2011,0.00556
18/07/2011,-0.00814
19/07/2011,0.01631
20/07/2011,-0.00067
21/07/2011,0.01355
22/07/2011,0.00090
25/07/2011,-0.00564
26/07/2011,-0.00411
27/07/2011,-0.02031
28/07/2011,-0.00323
29/07/2011,-0.00645
01/08/2011,-0.00413
02/08/2011,-0.02556
03/08/2011,0.00502
04/08/2011,-0.04782
05/08/2011,-0.00058
08/08/2011,-0.06663
09/08/2011,0.04741
10/08/2011,-0.04416
11/08/2011,0.04629
12/08/2011,0.00527
15/08/2011,0.02178
16/08/2011,-0.00973
17/08/2011,0.00094
18/08/2011,-0.04459
19/08/2011,-0.01501
22/08/2011,0.00026
23/08/2011,0.03429
24/08/2011,0.01312
25/08/2011,-0.01557
26/08/2011,0.01512
29/08/2011,0.02828
30/08/2011,0.00235
31/08/2011,0.00492
01/09/2011,-0.01187
02/09/2011,-0.02529
06/09/2011,-0.00743
07/09/2011,0.02865
08/09/2011,-0.01062
09/09/2011,-0.02670
12/09/2011,0.00696
13/09/2011,0.00913
14/09/2011,0.01347
15/09/2011,0.01719
16/09/2011,0.00571
19/09/2011,-0.00981
20/09/2011,-0.00166
21/09/2011,-0.02939
22/09/2011,-0.03188
23/09/2011,0.00608
26/09/2011,0.02333
27/09/2011,0.01069
28/09/2011,-0.02069
29/09/2011,0.00811
30/09/2011,-0.02497
03/10/2011,-0.02845
04/10/2011,0.02249
05/10/2011,0.01787
06/10/2011,0.01830
07/10/2011,-0.00816
10/10/2011,0.03412
11/10/2011,0.00054
12/10/2011,0.00980
13/10/2011,-0.00298
14/10/2011,0.01738
17/10/2011,-0.01937
18/10/2011,0.02042
19/10/2011,-0.01265
20/10/2011,0.00455
21/10/2011,0.01881
24/10/2011,0.01288
25/10/2011,-0.02005
26/10/2011,0.01054
27/10/2011,0.03429
28/10/2011,0.00039
31/10/2011,-0.02474
01/11/2011,-0.02794
02/11/2011,0.01611
03/11/2011,0.01878
04/11/2011,-0.00629
07/11/2011,0.00630
08/11/2011,0.01174
09/11/2011,-0.03670
10/11/2011,0.00862
11/11/2011,0.01949
14/11/2011,-0.00955
15/11/2011,0.00482
16/11/2011,-0.01661
17/11/2011,-0.01681
18/11/2011,-0.00039
21/11/2011,-0.01865
22/11/2011,-0.00415
23/11/2011,-0.02209
25/11/2011,-0.00269
28/11/2011,0.02924
29/11/2011,0.00222
